product_id,nombre_producto,categoria,precio
1001,Enterprise-wide 3rdgeneration frame,Ropa,374.18
1002,Face-to-face coherent matrices,Electrónica,285.28
1003,Digitized heuristic instruction set,Juguetes,139.4
1004,Versatile stable matrix,Hogar,360.81
1005,Focused interactive orchestration,Hogar,404.42
1006,Configurable holistic throughput,Juguetes,70.66
1007,Phased client-server attitude,Electrónica,123.95
1008,Team-oriented incremental adapter,Hogar,52.95
1009,Decentralized coherent projection,Deportes,198.05
1010,Persevering static service-desk,Ropa,152.67
1011,Secured 24/7 support,Ropa,172.48
1012,Switchable client-driven focus group,Deportes,99.42
1013,Networked bifurcated concept,Deportes,126.16
1014,Centralized 4thgeneration standardization,Ropa,118.88
1015,Multi-channeled optimal initiative,Electrónica,203.12
1016,Vision-oriented client-driven project,Ropa,8.84
1017,Inverse modular application,Deportes,465.23
1018,Triple-buffered bandwidth-monitored policy,Electrónica,319.82
1019,Focused asymmetric analyzer,Ropa,484.17
1020,Object-based demand-driven instruction set,Hogar,110.74
1021,Self-enabling cohesive Graphical User Interface,Juguetes,357.65
1022,Automated optimal help-desk,Ropa,113.09
1023,Decentralized 24hour matrices,Juguetes,70.7
1024,Total client-server hub,Ropa,111.98
1025,Customer-focused homogeneous conglomeration,Electrónica,248.32
1026,Re-engineered multi-state functionalities,Deportes,51.93
1027,Reactive secondary data-warehouse,Deportes,385.1
1028,Secured object-oriented extranet,Electrónica,277.1
1029,Upgradable value-added alliance,Ropa,247.24
1030,Stand-alone bandwidth-monitored time-frame,Deportes,268.98
1031,Grass-roots 24/7 strategy,Juguetes,141.32
1032,Mandatory 5thgeneration migration,Juguetes,101.12
1033,Distributed multi-tasking intranet,Deportes,64.38
1034,Profound executive policy,Electrónica,116.59
1035,Seamless hybrid workforce,Hogar,405.82
1036,Robust foreground attitude,Ropa,89.8
1037,Innovative directional firmware,Ropa,61.73
1038,Sharable system-worthy conglomeration,Hogar,253.7
1039,Ameliorated intermediate hardware,Deportes,245.51
1040,Open-architected directional approach,Juguetes,494.13
1041,Stand-alone maximized encoding,Ropa,240.1
1042,Implemented cohesive time-frame,Deportes,16.2
1043,Profit-focused asynchronous challenge,Hogar,36.01
1044,Up-sized content-based attitude,Hogar,225.86
1045,Optimized eco-centric architecture,Juguetes,245.51
1046,Optimized real-time structure,Ropa,370.54
1047,Devolved homogeneous challenge,Deportes,319.12
1048,Proactive mobile ability,Deportes,155.77
1049,Reverse-engineered fault-tolerant help-desk,Hogar,421.26
1050,Universal coherent toolset,Electrónica,243.91
